comparison_id,domain,metric,year,observed,modeled,unit,comparison_status,forcing_class,phase,weight,tolerance,tolerance_absolute,geography,source_id,source_url,observed_boundary,modeled_boundary,model_result_ref,constraint_refs,uncertainty_or_conflict,notes
ENE-IND-HEAT-COAL-SHARE-2020,energy,Coal share of industrial process-heat input,2020,0.2408,0.3677656485,fraction,diagnostic_only,E,calibration,1,,,Philippines,SRC_PHL_DOE_PEP_2020_2040_INDUSTRY_COAL,https://legacy.doe.gov.ph/sites/default/files/pdf/pep/PEP-2020-2040-Final%20eCopy-as-of-15-June-2023.pdf,DOE whole-industry final-energy fuel share,Fuel input to PHL_INDU_OTHLPH_* and PHL_INDU_OTHHPH_* process-heat routes,"UseByTechnologyByMode.csv:industrial low/high process-heat technologies, 2020",industrial process-heat service demand; residual stocks; efficiencies; fuel and route costs,"Not scoreable: the official denominator includes all industrial final energy, while the model denominator is process heat only.",
ENE-IND-HEAT-NATURAL_GAS-SHARE-2020,energy,Natural gas share of industrial process-heat input,2020,0.006,0.005240776074,fraction,diagnostic_only,E,calibration,1,,,Philippines,SRC_PHL_DOE_PEP_2020_2040_INDUSTRY_COAL,https://legacy.doe.gov.ph/sites/default/files/pdf/pep/PEP-2020-2040-Final%20eCopy-as-of-15-June-2023.pdf,DOE whole-industry final-energy fuel share,Fuel input to PHL_INDU_OTHLPH_* and PHL_INDU_OTHHPH_* process-heat routes,"UseByTechnologyByMode.csv:industrial low/high process-heat technologies, 2020",industrial process-heat service demand; residual stocks; efficiencies; fuel and route costs,"Not scoreable: the official denominator includes all industrial final energy, while the model denominator is process heat only.",
ENE-IND-HEAT-ELECTRICITY-SHARE-2020,energy,Electricity share of industrial process-heat input,2020,0.3543,0,fraction,diagnostic_only,E,calibration,1,,,Philippines,SRC_PHL_DOE_PEP_2020_2040_INDUSTRY_COAL,https://legacy.doe.gov.ph/sites/default/files/pdf/pep/PEP-2020-2040-Final%20eCopy-as-of-15-June-2023.pdf,DOE whole-industry final-energy fuel share,Fuel input to PHL_INDU_OTHLPH_* and PHL_INDU_OTHHPH_* process-heat routes,"UseByTechnologyByMode.csv:industrial low/high process-heat technologies, 2020",industrial process-heat service demand; residual stocks; efficiencies; fuel and route costs,"Not scoreable: the official denominator includes all industrial final energy, while the model denominator is process heat only.",
ENE-IND-HEAT-BIOMASS-SHARE-2020,energy,Biomass share of industrial process-heat input,2020,0.1459,0.1431475597,fraction,diagnostic_only,E,calibration,1,,,Philippines,SRC_PHL_DOE_PEP_2020_2040_INDUSTRY_COAL,https://legacy.doe.gov.ph/sites/default/files/pdf/pep/PEP-2020-2040-Final%20eCopy-as-of-15-June-2023.pdf,DOE whole-industry final-energy fuel share,Fuel input to PHL_INDU_OTHLPH_* and PHL_INDU_OTHHPH_* process-heat routes,"UseByTechnologyByMode.csv:industrial low/high process-heat technologies, 2020",industrial process-heat service demand; residual stocks; efficiencies; fuel and route costs,"Not scoreable: the official denominator includes all industrial final energy, while the model denominator is process heat only.",
ENE-SER-HEAT-OIL-SHARE-2020,energy,Oil share of services-heating input,2020,0.504,0.881289465,fraction,diagnostic_only,E,calibration,1,,,Philippines,SRC_PHL_DOE_PES_KES_2020_SERVICES_REFINING,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/doe-pes-kes-2020-rev_13June2023.pdf,DOE whole-services final-energy fuel share,Fuel input to PHL_SER_HEAT_* routes,"UseByTechnologyByMode.csv:services-heating technologies, 2020",services heat demand; residual stocks; efficiencies; fuel and route costs,"Not scoreable: the official denominator includes all services final energy, while the model denominator is heating only.",
ENE-SER-HEAT-ELECTRICITY-SHARE-2020,energy,Electricity share of services-heating input,2020,0.387,0.08754683232,fraction,diagnostic_only,E,calibration,1,,,Philippines,SRC_PHL_DOE_PES_KES_2020_SERVICES_REFINING,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/doe-pes-kes-2020-rev_13June2023.pdf,DOE whole-services final-energy fuel share,Fuel input to PHL_SER_HEAT_* routes,"UseByTechnologyByMode.csv:services-heating technologies, 2020",services heat demand; residual stocks; efficiencies; fuel and route costs,"Not scoreable: the official denominator includes all services final energy, while the model denominator is heating only.",
ENE-SER-HEAT-BIOMASS-SHARE-2020,energy,Biomass share of services-heating input,2020,0.101,0.03116370269,fraction,diagnostic_only,E,calibration,1,,,Philippines,SRC_PHL_DOE_PES_KES_2020_SERVICES_REFINING,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/doe-pes-kes-2020-rev_13June2023.pdf,DOE whole-services final-energy fuel share,Fuel input to PHL_SER_HEAT_* routes,"UseByTechnologyByMode.csv:services-heating technologies, 2020",services heat demand; residual stocks; efficiencies; fuel and route costs,"Not scoreable: the official denominator includes all services final energy, while the model denominator is heating only.",
ENE-HOU-COOK-OIL-SHARE-2020,energy,Oil (LPG and kerosene) share of household cooking,2020,0.5331325301,0.5331325787,fraction,diagnostic_only,J,calibration,1,,,Philippines,SRC_PHL_V23_BIOMASS_PSA_COOKING,https://psa.gov.ph/statistics/population-and-housing/node/1684059981,Normalized share of households reporting the fuel used most of the time for cooking,Share of solved useful-cooking activity across household cooking routes,"TotalAnnualTechnologyActivityByMode.csv:PHL_HOU_COOK_*, 2020",useful-cooking demand; residual cooking stocks; route efficiencies; fuel and route costs,"Not scoreable: household incidence is not an energy/service share, and this PSA observation informed the v23 cooking proxy and initial-stock mix.",
ENE-HOU-COOK-ELECTRICITY-SHARE-2020,energy,Electricity share of household cooking,2020,0.06827309237,0.06827302,fraction,diagnostic_only,J,calibration,1,,,Philippines,SRC_PHL_V23_BIOMASS_PSA_COOKING,https://psa.gov.ph/statistics/population-and-housing/node/1684059981,Normalized share of households reporting the fuel used most of the time for cooking,Share of solved useful-cooking activity across household cooking routes,"TotalAnnualTechnologyActivityByMode.csv:PHL_HOU_COOK_*, 2020",useful-cooking demand; residual cooking stocks; route efficiencies; fuel and route costs,"Not scoreable: household incidence is not an energy/service share, and this PSA observation informed the v23 cooking proxy and initial-stock mix.",
ENE-HOU-COOK-CHARCOAL-SHARE-2020,energy,Charcoal share of household cooking,2020,0.07228915663,0.07228874525,fraction,diagnostic_only,J,calibration,1,,,Philippines,SRC_PHL_V23_BIOMASS_PSA_COOKING,https://psa.gov.ph/statistics/population-and-housing/node/1684059981,Normalized share of households reporting the fuel used most of the time for cooking,Share of solved useful-cooking activity across household cooking routes,"TotalAnnualTechnologyActivityByMode.csv:PHL_HOU_COOK_*, 2020",useful-cooking demand; residual cooking stocks; route efficiencies; fuel and route costs,"Not scoreable: household incidence is not an energy/service share, and this PSA observation informed the v23 cooking proxy and initial-stock mix.",
ENE-HOU-COOK-BIOMASS_AND_OTHER-SHARE-2020,energy,Wood and other fuels share of household cooking,2020,0.3263052209,0.3263056561,fraction,diagnostic_only,J,calibration,1,,,Philippines,SRC_PHL_V23_BIOMASS_PSA_COOKING,https://psa.gov.ph/statistics/population-and-housing/node/1684059981,Normalized share of households reporting the fuel used most of the time for cooking,Share of solved useful-cooking activity across household cooking routes,"TotalAnnualTechnologyActivityByMode.csv:PHL_HOU_COOK_*, 2020",useful-cooking demand; residual cooking stocks; route efficiencies; fuel and route costs,"Not scoreable: household incidence is not an energy/service share, and this PSA observation informed the v23 cooking proxy and initial-stock mix.",
ENE-PROC-OIL-2020,energy,Domestic refinery marketable output,2020,188.406,799.6459,PJ,diagnostic_only,E,calibration,1,,,Philippines,SRC_PHL_DOE_PES_KES_2020_SERVICES_REFINING,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/doe-pes-kes-2020-rev_13June2023.pdf,DOE domestic-refinery marketable petroleum-product output,"Output of PHL_PRO_PROC_OIL, which processes the aggregate raw-oil pool including the model's oil-import route","ProductionByTechnologyByMode.csv:PHL_PRO_PROC_OIL, PHL_PRO_OIL, 2020",oil-service demands; crude/import supply; processing efficiency and cost,"Not scoreable: imported crude and finished products are not separated, so the model processor is broader than domestic refinery output.",
ENE-PROC-NG-2020,energy,National natural-gas consumption,2020,146.0359669,146.596,PJ,score_ready,E,calibration,1,0.05,,Philippines,SRC_PHL_DOE_NATGAS_DEVELOPMENT_PLAN,https://legacy.doe.gov.ph/sites/default/files/pdf/downstream_natgas/NaturalGasDevelopmentPlan.pdf,DOE national delivered natural-gas consumption before LNG imports,Output of PHL_PRO_PROC_NG supplied by domestic raw gas in 2020,"ProductionByTechnologyByMode.csv:PHL_PRO_PROC_NG, PHL_PRO_NG, 2020",domestic gas deliverability; gas-consuming technologies; processing efficiency and cost,,"Observed 133,606 MMSCF converted with the existing v33 full-precision gas conversion."
ENE-PROC-COAL-2020,energy,National coal consumption,2020,725.99112,642.3756,PJ,score_ready,E,calibration,1,0.1,,Philippines,SRC_PHL_DOE_PEP_2020_2040_INDUSTRY_COAL,https://legacy.doe.gov.ph/sites/default/files/pdf/pep/PEP-2020-2040-Final%20eCopy-as-of-15-June-2023.pdf,DOE national coal consumption across power and industry,Output of PHL_PRO_PROC_COAL to all national coal users,"ProductionByTechnologyByMode.csv:PHL_PRO_PROC_COAL, PHL_PRO_COAL, 2020",power and industry service demands; coal supply/trade; processing efficiency and cost,,Observed 17.34 MTOE converted at 41.868 PJ/MTOE; the 10% tolerance is declared independently of the model result.
LND-RICE-IRR-AREA-2020,land,Irrigated rice area,2020,20.06,20.06,1000 km2,score_ready,J,calibration,1,0.1,,Philippines,SRC_PSA_SSAF_2022,https://psa.gov.ph/system/files/main-publication/%2528ons-cleared%2529_SSAF%25202022%2520as%2520of%252030082022_ONS-signed.pdf,2020 physical irrigation service-area stock,Solved irrigated-rice land activity,"TotalAnnualTechnologyActivityByMode.csv:sum LNDAGRPHLC*, modes 17/19, 2020",PHL_AGR_IRRIGATION residual service stock; no minimum use,,The observation sets a justified initial infrastructure stock; solved use may be lower but binds in v33.
LND-RICE-RAIN-AREA-2020,land,Rainfed rice harvested area,2020,14.6544173,10.4468,1000 km2,score_ready,E,calibration,1,0.1,,Philippines,SRC_PSA_SSAF_2022,https://psa.gov.ph/system/files/main-publication/%2528ons-cleared%2529_SSAF%25202022%2520as%2520of%252030082022_ONS-signed.pdf,2020 harvested area,Solved rainfed-rice land activity,"TotalAnnualTechnologyActivityByMode.csv:sum LNDAGRPHLC*, modes 11/14, 2020",rice final demand; cluster yields; land and water availability; crop costs,,
LND-RICE-IRR-PROD-2020,land,Irrigated rice production,2020,14.57176519,15.2556,Mt,score_ready,E,calibration,1,0.1,,Philippines,SRC_PSA_SSAF_2022,https://psa.gov.ph/system/files/main-publication/%2528ons-cleared%2529_SSAF%25202022%2520as%2520of%252030082022_ONS-signed.pdf,2020 irrigated palay production,Solved irrigated-rice production,"ProductionByTechnologyByMode.csv:CRPRCP, modes 17/19, 2020",total rice final demand; endogenous regime and cluster allocation,,
LND-RICE-RAIN-PROD-2020,land,Rainfed rice production,2020,4.72309035,4.0392,Mt,score_ready,E,calibration,1,0.2,,Philippines,SRC_PSA_SSAF_2022,https://psa.gov.ph/system/files/main-publication/%2528ons-cleared%2529_SSAF%25202022%2520as%2520of%252030082022_ONS-signed.pdf,2020 rainfed palay production,Solved rainfed-rice production,"ProductionByTechnologyByMode.csv:CRPRCP, modes 11/14, 2020",total rice final demand; endogenous regime and cluster allocation,,
LND-RICE-TOTAL-PROD-2020,land,Total rice production,2020,19.29485554,19.2948,Mt,score_ready,H,calibration,1,0.001,,Philippines,SRC_PSA_SSAF_2022,https://psa.gov.ph/system/files/main-publication/%2528ons-cleared%2529_SSAF%25202022%2520as%2520of%252030082022_ONS-signed.pdf,Sum of observed irrigated and rainfed production,Exogenous total rice final demand,"ProductionByTechnologyByMode.csv:CRPRCP, all rice modes, 2020",Specified/accumulated rice demand,,History-fixed total; retained to disclose forcing and excluded from fit credit by the comparison scorer.
WAT-AGR-WITHDRAW-2020,water,Agricultural water withdrawal,2020,67.85109005,58.2197,km3,diagnostic_only,E,calibration,1,0.2,,Philippines,SRC_FAO_AQUASTAT_PHL_2020_BOUNDARY,https://data.apps.fao.org/aquastat/,AQUASTAT variable 4250: all agricultural water withdrawal,Gross crop-irrigation withdrawal only,"TotalAnnualTechnologyActivityByMode.csv:DEMAGRSURPHL+DEMAGRGWTPHL, 2020",crop allocation; gross irrigation coefficients; source costs and national envelopes,Not scoreable: observed denominator includes agricultural uses beyond model crop irrigation.,
WAT-IRR-WITHDRAW-2006-REF,water,Irrigation water withdrawal (historical reference),2006 observation vs 2020 model,65.59,58.2197,km3,diagnostic_only,E,calibration,1,,,Philippines,SRC_FAO_AQUASTAT_TABLE4_2012,https://firebasestorage.googleapis.com/v0/b/fao-aquastat.appspot.com/o/PDF%2FTABLES%2FTable4.pdf?alt=media&token=fdba62dc-ca8f-4b80-adcd-909baa2ddf87,2006 irrigation-only withdrawal,2020 gross crop-irrigation withdrawal,,,Not scoreable because periods differ; retained as the closest internally comparable national irrigation boundary.,
WAT-TOTAL-ABSTRACT-2020,water,Total water abstraction,2020,218.58,72.5033,km3,diagnostic_only,E,calibration,1,,,Philippines,SRC_PSA_WATER_ACCOUNTS_2024_REVISION,https://psa.gov.ph/system/files/enrad/2.%20Highlights_WFA.pdf,PSA abstraction including large non-consumptive hydropower flows,"Irrigation, public supply and thermal-power cooling withdrawals; hydropower abstraction omitted","TotalAnnualTechnologyActivityByMode.csv:six raw-water delivery technologies, 2020",,Current PSA series gives 218.58 km3; retained v33 source ledger records the earlier 218.46 km3 release. Not scoreable because model omits hydropower abstraction.,
WAT-SOURCE-SHARE-2024,water,Surface-water share of total abstraction,2024,0.976,1,fraction,diagnostic_only,E,calibration,1,,0.05,Philippines,SRC_PSA_WATER_ACCOUNTS_2024_REVISION,https://psa.gov.ph/system/files/enrad/2.%20Highlights_WFA.pdf,All PSA abstraction including hydropower,Modeled withdrawals; v33 selects zero groundwater,,,Not scoreable across mismatched abstraction boundaries.,
WAT-PWR-COOL-2020,water,Thermal-power cooling-water withdrawal,2020,,10.5634,km3,evidence_gap,,calibration,1,,,Philippines,,,,NREL-factor-derived national thermal cooling withdrawal,"TotalAnnualTechnologyActivityByMode.csv:PHL_DEM_PWR_SUR_WAT+PHL_DEM_PWR_GWT_WAT, 2020",,No Philippines plant/source-matched historical cooling-water observation is retained.,
WAT-GWT-PUMP-ELE-2020,water,Electricity used for groundwater pumping,2020,,0,PJ,evidence_gap,,calibration,1,,,Philippines,,,,Zero because v33 selects no groundwater withdrawal,"UseByTechnologyByMode.csv:groundwater delivery technologies, 2020",,"No national observed pumping-electricity series matched to public, irrigation and power groundwater is retained.",
CLI-ENERGY-GHG-2020,climate,Energy GHG emissions including transport,2020,129.286,128.8966,MtCO2e,score_ready,E,calibration,2,0.1,,Philippines,SRC_PHL_BTR_2024_TABLE15,https://niccdies.climate.gov.ph/files/documents/Final-%20Philippine%20Biennial%20Transparency%20Report.pdf,2020 national energy plus transport inventory,All v33 CO2e except crop-cluster emissions,"AnnualTechnologyEmission.csv:CO2e total minus LNDAGRPHLC*, 2020",endogenous activity; physical emission factors; energy service demands and stocks,Official rounded table gives 99.854+29.431=129.285 Mt; NDC implementation table reports 129.286 Mt.,
CLI-RICE-CH4-2020,climate,Rice cultivation CH4,2020,26.985,24.24249967,MtCO2e,score_ready,E,calibration,1,0.15,,Philippines,SRC_PHL_V22_GHGI,https://niccdies.climate.gov.ph/files/documents/2015%20and%202020%20National%20GHGI%20Executive%20Brief.pdf,2020 national rice-cultivation inventory,Solved rice activity times inventory-derived water-regime factors,"AnnualTechnologyEmission.csv and TotalAnnualTechnologyActivityByMode.csv, 2020",endogenous irrigated/rainfed and cluster allocation; calibrated EARs,"Same inventory calibrated the EAR levels; this is calibration-period fit, not independent validation.",
CLI-SOIL-N2O-2020,climate,Managed-soil direct and indirect N2O,2020,9.152,5.576300331,MtCO2e,score_ready,E,calibration,1,0.2,,Philippines,SRC_PHL_V22_GHGI,https://niccdies.climate.gov.ph/files/documents/2015%20and%202020%20National%20GHGI%20Executive%20Brief.pdf,2020 national managed-soil direct plus indirect N2O,Solved managed crop activity times inventory-derived average factor,"TotalAnnualTechnologyActivityByMode.csv:LNDAGRPHLC*, modes 1-24, 2020",endogenous managed crop activity; calibrated average soil factor,Same inventory calibrated the factor; livestock/manure and crop-specific fertilizer rates are absent.,
CLI-AGR-TOTAL-2020,climate,Total agriculture GHG emissions,2020,54.08,29.8188,MtCO2e,diagnostic_only,E,calibration,1,0.15,,Philippines,SRC_PHL_BTR_2024_TABLE15,https://niccdies.climate.gov.ph/files/documents/Final-%20Philippine%20Biennial%20Transparency%20Report.pdf,Complete national agriculture inventory,Rice CH4 plus managed-soil N2O only,"AnnualTechnologyEmission.csv:LNDAGRPHLC*, CO2e, 2020",,"Not scoreable: model omits livestock, manure and other agricultural inventory categories.",
CLI-LULUCF-2020,climate,Net forestry and other-land-use GHG,2020,-25.935,,MtCO2e,evidence_gap,,calibration,1,,,Philippines,SRC_PHL_BTR_2024_TABLE15,https://niccdies.climate.gov.ph/files/documents/Final-%20Philippine%20Biennial%20Transparency%20Report.pdf,2020 national forestry plus other land use,No transition-specific land-carbon stock-change account in v33 LP,,,Observed forestry -71.355 plus other land use 45.420 MtCO2e; no comparable modeled value.,
NEX-AFF-ENERGY-2020,nexus,"Agriculture, forestry and fisheries final energy use",2020,18.3716784,50.5285,PJ,score_ready,E,calibration,2,0.15,,Philippines,SRC_PHL_V22_DOE_2024_AFF,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,"DOE 2020 agriculture/forestry/fishery final energy, 438.8 ktoe",Energy inputs to agriculture and fisheries end-use service technologies,"UseByTechnologyByMode.csv:selected PHL_AGR and PHL_FSH end-use technologies, 2020",sector service demands; technology efficiencies; endogenous energy-carrier mix,Model includes agriculture and fisheries explicitly; forestry end-use energy is not separately represented.,
NEX-AFF-ELE-SHARE-2020,nexus,"Electricity share of agriculture, forestry and fisheries energy",2020,0.656,0.3315910823,fraction,score_ready,E,calibration,1,0.15,0.1,Philippines,SRC_PHL_V22_DOE_2024_AFF,https://legacy.doe.gov.ph/energy-statistics/philippine-energy-situationer,DOE 2020 AFF electricity share,Electricity inputs divided by all selected AFF energy inputs,"UseByTechnologyByMode.csv:selected PHL_AGR and PHL_FSH end-use technologies, 2020",sector service demands; technology efficiencies; endogenous carrier choice,,
NEX-BIOMASS-2020,nexus,Crop-residue biomass available to energy,2020,35.001648,110.3467,PJ,diagnostic_only,J,calibration,1,,,Philippines,SRC_PHL_V23_BIOMASS_DOE_KES_SIMPLE,https://legacy.doe.gov.ph/sites/default/files/pdf/energy_statistics/doe-pes-kes-2021.pdf,DOE other agricultural-waste biomass production: 836 ktoe,"Derived recoverable bagasse, rice-husk and cane-trash resource activity","TotalAnnualTechnologyActivityByMode.csv:PHL_PRO_SUP_CROP_RESIDUE, 2020",,Not scoreable: DOE agriwaste category and model recoverable-residue basket are not the same commodity boundary.,
NEX-WATER-POWER-2020,nexus,Water withdrawn for thermal power,2020,,10.5634,km3,evidence_gap,,calibration,1,,,Philippines,,,,,"TotalAnnualTechnologyActivityByMode.csv:power water-delivery routes, 2020",,Model value is generated from NREL generic withdrawal factors; no Philippine historical plant/source register is retained.,
NEX-WATER-CROP-2020,nexus,Gross water withdrawn for crop irrigation,2020,67.85109005,58.2197,km3,diagnostic_only,E,calibration,1,,,Philippines,SRC_FAO_AQUASTAT_PHL_2020_BOUNDARY,https://data.apps.fao.org/aquastat/,All agricultural withdrawal,Crop-irrigation withdrawal only,"TotalAnnualTechnologyActivityByMode.csv:agricultural water-delivery routes, 2020",,Retained as a nexus boundary diagnostic; excluded from scoring because the observed category is broader.,
